score,source,target
38.72,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
39.64,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
40.09,/workshop-files//air nz future.doc,/workshop-files//Geographical Indications 04.DOC
40.32,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//kiwisaver amendment.doc
40.55,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//kiwisaver amendment.doc
40.55,/workshop-files//belgrave.doc,/workshop-files//Grey Power Manawatu 15 July.doc
40.55,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//election date.doc
41.00,/workshop-files//Suter Art Gallery .doc,/workshop-files//Grey Power Manawatu 15 July.doc
41.00,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//stalactites.doc
41.00,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//dhb changes draft.doc
42.14,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//supreme court.doc
42.14,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//stalactites.doc
42.14,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//election date.doc
42.37,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//key reaction.doc
42.60,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//air nz future.doc
43.05,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//belgrave.doc
43.05,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//dhb changes draft.doc
43.05,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//Waitangi day Atawhai opening.doc
43.05,/workshop-files//aircare 24nov2005.doc,/workshop-files//air nz future.doc
43.05,/workshop-files//Arts Pasifika Awards 2007 .doc,/workshop-files//080507 - new prison welcomed.doc
43.28,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//taiwan national day.doc
43.74,/workshop-files//NZSafetyAwards15Aug.doc,/workshop-files//supreme court.doc
43.96,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//taiwan national day.doc
43.96,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//dhb changes.doc
44.19,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc",/workshop-files//Arts Pasifika Awards 2007 .doc
44.19,/workshop-files//supreme court.doc,/workshop-files//Geographical Indications 04.DOC
44.87,/workshop-files//air nz future.doc,/workshop-files//NZSafetyAwards15Aug.doc
45.10,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//Waitangi day Atawhai opening.doc
45.56,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//dhb changes.doc
46.01,/workshop-files//aircare 23nov2005.doc,/workshop-files//air nz future.doc
46.01,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//election date.doc
46.24,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//kiwisaver amendment.doc
46.24,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//dhb changes draft.doc
46.47,/workshop-files//stalactites.doc,/workshop-files//mccarthyism.doc
46.70,/workshop-files//Bike regs.doc,/workshop-files//supreme court.doc
46.70,/workshop-files//belgrave.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
46.70,/workshop-files//mccarthyism.doc,/workshop-files//election date.doc
46.92,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//stalactites.doc
46.92,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//supreme court.doc
47.15,/workshop-files//stalactites.doc,/workshop-files//key reaction.doc
47.38,/workshop-files//key reaction.doc,/workshop-files//election date.doc
47.38,/workshop-files//mccarthyism.doc,/workshop-files//kiwisaver amendment.doc
47.61,/workshop-files//belgrave.doc,/workshop-files//mccarthyism.doc
