score,source,target
588,/workshop-files//Suter Art Gallery .doc,/workshop-files//Geographical Indications 04.DOC
395,/workshop-files//Suter Art Gallery .doc,/workshop-files//taiwan national day.doc
313,/workshop-files//Suter Art Gallery .doc,/workshop-files//NZ Music Month quiz answers 2006.doc
398,/workshop-files//Suter Art Gallery .doc,/workshop-files//dhb changes.doc
394,/workshop-files//Suter Art Gallery .doc,/workshop-files//dhb changes draft.doc
408,/workshop-files//Suter Art Gallery .doc,/workshop-files//election date.doc
446,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//belgrave.doc
317,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
582,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Otago Heritage Seminar 10Oct02.doc
296,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Grey Power Manawatu 15 July.doc
622,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//aircare 24nov2005.doc
707,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//te papa 05.doc
61,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
652,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Auckland roading projects start 21Nov03.doc
689,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//air nz future.doc
299,/workshop-files//Backup of Ruataniwha speech 2.wbk,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
450,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//stalactites.doc
448,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//key reaction.doc
131,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Arts Pasifika Awards 2007 .doc
661,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//New NZSO CEO 8May02.doc
654,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Sargent gallery.doc
85,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Waitangi day Atawhai opening.doc
469,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//mccarthyism.doc
652,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Sarjeant gallery.doc
642,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//NZSafetyAwards15Aug.doc
670,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//supreme court.doc
296,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//080507 - new prison welcomed.doc
449,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//kiwisaver amendment.doc
597,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//Geographical Indications 04.DOC
449,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//taiwan national day.doc
333,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//NZ Music Month quiz answers 2006.doc
417,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//dhb changes.doc
442,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//dhb changes draft.doc
455,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//election date.doc
245,/workshop-files//belgrave.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
335,/workshop-files//belgrave.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
272,/workshop-files//belgrave.doc,/workshop-files//Grey Power Manawatu 15 July.doc
407,/workshop-files//belgrave.doc,/workshop-files//aircare 24nov2005.doc
401,/workshop-files//belgrave.doc,/workshop-files//te papa 05.doc
410,/workshop-files//belgrave.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
449,/workshop-files//belgrave.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
437,/workshop-files//belgrave.doc,/workshop-files//air nz future.doc
480,/workshop-files//belgrave.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
18,/workshop-files//belgrave.doc,/workshop-files//stalactites.doc
238,/workshop-files//belgrave.doc,/workshop-files//key reaction.doc
418,/workshop-files//belgrave.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
445,/workshop-files//belgrave.doc,/workshop-files//New NZSO CEO 8May02.doc
459,/workshop-files//belgrave.doc,/workshop-files//Sargent gallery.doc
394,/workshop-files//belgrave.doc,/workshop-files//Waitangi day Atawhai opening.doc
241,/workshop-files//belgrave.doc,/workshop-files//mccarthyism.doc
